normalized,variants
rucaparib,"[""Rucaparib""]"
selpercatinib,"[""Selpercatinib""]"
sertraline,"[""Sertraline""]"
sevoflurane,"[""Sevoflurane""]"
siponimod,"[""Siponimod""]"
sodium bicarbonate,"[""Sodium bicarbonate""]"
solifenacin,"[""Solifenacin""]"
sonidegib,"[""Sonidegib""]"
sorafenib,"[""Sorafenib""]"
sotalol,"[""Sotalol""]"
sulfamethoxazole,"[""Sulfamethoxazole""]"
sulindac,"[""Sulindac""]"
sunitinib,"[""Sunitinib""]"
tacrine,"[""Tacrine""]"
tamoxifen,"[""Tamoxifen""]"
telavancin,"[""Telavancin""]"
telithromycin,"[""Telithromycin""]"
terfenadine,"[""Terfenadine""]"
tetrabenazine,"[""Tetrabenazine""]"
thalidomide,"[""Thalidomide""]"
theophylline,"[""Theophylline""]"
tizanidine,"[""Tizanidine""]"
tolmetin,"[""Tolmetin""]"
toremifene,"[""Toremifene""]"
trazodone,"[""Trazodone""]"
triamterene,"[""Triamterene""]"
triclabendazole,"[""Triclabendazole""]"
trimipramine,"[""Trimipramine""]"
valbenazine,"[""Valbenazine""]"
vandetanib,"[""Vandetanib""]"
vardenafil,"[""Vardenafil""]"
vasopressin,"[""Vasopressin""]"
vemurafenib,"[""Vemurafenib""]"
vismodegib,"[""Vismodegib""]"
voriconazole,"[""Voriconazole""]"
atracurium,"[""Atracurium""]"
cisatracurium,"[""Cisatracurium""]"
cyclosporine,"[""Cyclosporine""]"
didanosine,"[""Didanosine""]"
doxacurium,"[""Doxacurium""]"
etravirine,"[""Etravirine""]"
flibanserin,"[""Flibanserin""]"
lemborexant,"[""Lemborexant""]"
memantine,"[""Memantine""]"
metocurine,"[""Metocurine""]"
midazolam,"[""Midazolam""]"
mivacurium,"[""Mivacurium""]"
nabumetone,"[""Nabumetone""]"
nifedipine,"[""Nifedipine""]"
pancuronium,"[""Pancuronium""]"
physostigmine,"[""Physostigmine""]"
pipecuronium,"[""Pipecuronium""]"
porfimer sodium,"[""Porfimer sodium""]"
pramipexole,"[""Pramipexole""]"
rapacuronium,"[""Rapacuronium""]"
rocuronium,"[""Rocuronium""]"
succinylcholine,"[""Succinylcholine""]"
triazolam,"[""Triazolam""]"
tubocurarine,"[""Tubocurarine""]"
vecuronium,"[""Vecuronium""]"
amikacin,"[""Amikacin""]"
amikacin liposome,"[""Amikacin (liposome)""]"
armodafinil,"[""Armodafinil""]"
capmatinib,"[""Capmatinib""]"
capreomycin,"[""Capreomycin""]"
carboplatin,"[""Carboplatin""]"
cetuximab,"[""Cetuximab""]"
choline salicylate,"[""Choline salicylate""]"
cisplatin,"[""Cisplatin""]"
clopidogrel,"[""Clopidogrel""]"
conivaptan,"[""Conivaptan""]"
deferasirox,"[""Deferasirox""]"
echinacea,"[""Echinacea""]"
fedratinib,"[""Fedratinib""]"
ferrous fumarate,"[""Ferrous fumarate""]"
ferrous gluconate,"[""Ferrous gluconate""]"
