normalized,variants
acetohexamide,"[""Acetohexamide""]"
alogliptin,"[""Alogliptin""]"
chlorpheniramine,"[""Chlorpheniramine""]"
atropine ophthalmic,"[""Atropine (ophthalmic)""]"
canagliflozin,"[""Canagliflozin""]"
chlorpropamide,"[""Chlorpropamide""]"
dapagliflozin,"[""Dapagliflozin""]"
dulaglutide,"[""Dulaglutide""]"
empagliflozin,"[""Empagliflozin""]"
ertugliflozin,"[""Ertugliflozin""]"
exenatide,"[""Exenatide""]"
glimepiride,"[""Glimepiride""]"
glipizide,"[""Glipizide""]"
glycopyrronium topical,"[""Glycopyrronium (topical)""]"
insulin human,"[""Insulin human""]"
insulin aspart aspart,"[""Insulin aspart (aspart)""]"
insulin aspart aspart protamine,"[""Insulin aspart (aspart protamine)""]"
insulin degludec,"[""Insulin degludec""]"
insulin detemir,"[""Insulin detemir""]"
insulin glargine,"[""Insulin glargine""]"
insulin glulisine,"[""Insulin glulisine""]"
insulin human inhalation rapid acting,"[""Insulin human (inhalation, rapid acting)""]"
insulin human isophane,"[""Insulin human (isophane)""]"
insulin lispro,"[""Insulin lispro""]"
insulin lispro protamine,"[""Insulin lispro (protamine)""]"
insulin human regular,"[""Insulin human (regular)""]"
insulin human zinc,"[""Insulin human (zinc)""]"
insulin human zinc extended,"[""Insulin human (zinc extended)""]"
liraglutide,"[""Liraglutide""]"
lixisenatide,"[""Lixisenatide""]"
miglitol,"[""Miglitol""]"
potassium chloride,"[""Potassium chloride""]"
potassium citrate,"[""Potassium citrate""]"
scopolamine ophthalmic,"[""Scopolamine (ophthalmic)""]"
semaglutide,"[""Semaglutide""]"
sitagliptin,"[""Sitagliptin""]"
tolazamide,"[""Tolazamide""]"
tolbutamide,"[""Tolbutamide""]"
dextromethorphan,"[""Dextromethorphan""]"
acebutolol,"[""Acebutolol""]"
acetaminophen,"[""Acetaminophen""]"
caffeine,"[""Caffeine""]"
dihydrocodeine,"[""Dihydrocodeine""]"
codeine,"[""Codeine""]"
isometheptene,"[""Isometheptene""]"
amphetamine,"[""Amphetamine""]"
arformoterol,"[""Arformoterol""]"
atomoxetine,"[""Atomoxetine""]"
bromocriptine,"[""Bromocriptine""]"
dexmethylphenidate,"[""Dexmethylphenidate""]"
dextroamphetamine,"[""Dextroamphetamine""]"
dihydroergotamine,"[""Dihydroergotamine""]"
doxapram,"[""Doxapram""]"
dichloralphenazone,"[""Dichloralphenazone""]"
droxidopa,"[""Droxidopa""]"
ergometrine,"[""Ergometrine""]"
ergotamine,"[""Ergotamine""]"
guanethidine,"[""Guanethidine""]"
iobenguane i 123,"[""Iobenguane (I-123)""]"
isocarboxazid,"[""Isocarboxazid""]"
isoetharine,"[""Isoetharine""]"
levosalbutamol,"[""Levosalbutamol""]"
levomilnacipran,"[""Levomilnacipran""]"
linezolid,"[""Linezolid""]"
lisdexamfetamine,"[""Lisdexamfetamine""]"
methylene blue,"[""Methylene blue""]"
methylergometrine,"[""Methylergometrine""]"
methylphenidate,"[""Methylphenidate""]"
methysergide,"[""Methysergide""]"
midodrine,"[""Midodrine""]"
milnacipran,"[""Milnacipran""]"
olodaterol,"[""Olodaterol""]"
oxytocin,"[""Oxytocin""]"
ozanimod,"[""Ozanimod""]"
phenelzine,"[""Phenelzine""]"
pirbuterol,"[""Pirbuterol""]"
procarbazine,"[""Procarbazine""]"
racepinephrine,"[""Racepinephrine""]"
safinamide,"[""Safinamide""]"
selegiline,"[""Selegiline""]"
solriamfetol,"[""Solriamfetol""]"
tranylcypromine,"[""Tranylcypromine""]"
venlafaxine,"[""Venlafaxine""]"
